,"""Nearly Headless"" Nick",Aberforth Dumbledore,Alastor Moody,Albus Dumbledore,Alecto Carrow,Alicia Spinnet,Amycus Carrow,Andromeda Tonks,Angelina Johnson,Anthony Goldstein,Antioch Peverell,Ariana Dumbledore,Arthur Weasley,Bartemius Crouch Sr,Bathilda Bagshot,Beedle the Bard,Bellatrix Lestrange,Cadmus Peverell,Cedric Diggory,Charity Burbage,Charlie Weasley,Cho Chang,Colin Creevey,Dean Thomas,Dedalus Diggle,Dilys Derwent,Dirk Cresswell,Dolores Umbridge,Draco Malfoy,Dudley Dursley,Elphias Doge,Ernie Macmillan,Fenrir Greyback,Filius Flitwick,Fleur Delacour,Fred Weasley,Gabrielle Delacour,Gellert Grindelwald,George Weasley,Ginevra Weasley,Godric Gryffindor,Hannah Abbott,Harry Potter,Helena Ravenclaw,Helga Hufflepuff,Hepzibah Smith,Hermione Granger,Horace Slughorn,Ignotus Peverell,Igor Karkaroff,James Potter,Katie Bell,Kingsley Shacklebolt,Lavender Brown,Lee Jordan,Lily Potter,Lord Voldemort,Lucius Malfoy,Luna Lovegood,Madam Malkin,Madam Rosmerta,Mafalda Hopkirk,Marvolo Gaunt,Mary Cattermole,Mary Riddle,Michael Corner,Minerva McGonagall,Molly Weasley,Mundungus Fletcher,Narcissa Malfoy,Neville Longbottom,Nicolas Flamel,Nymphadora Tonks,Oliver Wood,Padma Patil,Pansy Parkinson,Parvati Patil,Penelope Clearwater,Percy Weasley,Peter Pettigrew,Petunia Dursley,Phineas Nigellus Black,Pius Thicknesse,Pomona Sprout,Reginald Cattermole,Regulus Arcturus Black,Remus Lupin,Rita Skeeter,Rodolphus Lestrange,Ronald Weasley,Rowena Ravenclaw,Rubeus Hagrid,Rufus Scrimgeour,Salazar Slytherin,Seamus Finnigan,Severus Snape,Sirius Black,Stan Shunpike,Sybill Patricia Trelawney,Ted Tonks,Teddy Lupin,Terry Boot,Tom Riddle,Vernon Dursley,Viktor Krum,Walden Macnair,William Weasley,Xenophilius Lovegood,Zacharias Smith
Antioch Peverell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Ariana Dumbledore,0.0,1164.0,0.0,1256.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,30.0,618.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,2.0,8.0,6.0,8.0,2.0,46.0,6.0,10.0,40.0,0.0,276.0,0.0,2.0,2.0,38.0,2.0,2.0,0.0,32.0,0.0,2.0,0.0,0.0,26.0,48.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,2.0,2.0,2.0,8.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,12.0,2.0,2.0,0.0,4.0,4.0,58.0,0.0,38.0,0.0,2.0,14.0,2.0,0.0,64.0,14.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,2.0,0.0,10.0,2.0,4.0
Arthur Weasley,0.0,8.0,2.0,6.0,0.0,4.0,0.0,4.0,4.0,0.0,0.0,6.0,0.0,0.0,0.0,194.0,4.0,0.0,0.0,0.0,368.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,6.0,0.0,2.0,0.0,8.0,0.0,32.0,378.0,16.0,0.0,386.0,376.0,4.0,0.0,122.0,0.0,0.0,0.0,28.0,4.0,0.0,0.0,4.0,4.0,20.0,0.0,0.0,4.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,550.0,6.0,4.0,2.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,372.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,16.0,0.0,2.0,412.0,0.0,14.0,8.0,0.0,0.0,2.0,4.0,0.0,0.0,6.0,12.0,0.0,0.0,2.0,0.0,0.0,386.0,0.0,0.0
Bartemius Crouch Sr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bathilda Bagshot,0.0,30.0,0.0,34.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,26.0,0.0,26.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beedle the Bard,12.0,608.0,32.0,690.0,26.0,0.0,24.0,82.0,0.0,0.0,20.0,618.0,194.0,0.0,104.0,0.0,100.0,20.0,4.0,16.0,188.0,2.0,6.0,48.0,28.0,4.0,28.0,50.0,170.0,46.0,42.0,6.0,78.0,34.0,120.0,292.0,26.0,56.0,256.0,272.0,176.0,6.0,3372.0,52.0,18.0,10.0,1178.0,14.0,26.0,2.0,232.0,0.0,52.0,20.0,18.0,246.0,650.0,126.0,152.0,14.0,14.0,18.0,24.0,52.0,34.0,84.0,82.0,276.0,54.0,130.0,68.0,4.0,86.0,36.0,2.0,6.0,2.0,0.0,214.0,26.0,44.0,242.0,28.0,16.0,52.0,214.0,138.0,70.0,14.0,1260.0,58.0,190.0,66.0,34.0,6.0,306.0,230.0,6.0,4.0,108.0,124.0,10.0,46.0,54.0,22.0,4.0,308.0,132.0,12.0
Bellatrix Lestrange,0.0,2.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,2.0,0.0,2.0,4.0,0.0,0.0,4.0,8.0,4.0,0.0,50.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,6.0,0.0,0.0,2.0,0.0,6.0,28.0,8.0,2.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,2.0,14.0,0.0,20.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,40.0,16.0,0.0,2.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0
Cadmus Peverell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Cedric Diggory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charity Burbage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charlie Weasley,0.0,6.0,0.0,6.0,0.0,4.0,0.0,6.0,4.0,0.0,0.0,6.0,368.0,0.0,0.0,188.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,2.0,0.0,2.0,0.0,4.0,0.0,30.0,366.0,16.0,0.0,374.0,362.0,2.0,0.0,116.0,0.0,0.0,0.0,24.0,8.0,0.0,0.0,2.0,4.0,16.0,0.0,0.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,532.0,4.0,0.0,0.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,358.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,14.0,0.0,2.0,398.0,0.0,16.0,6.0,0.0,0.0,2.0,4.0,0.0,0.0,8.0,12.0,0.0,0.0,2.0,0.0,0.0,374.0,0.0,0.0
Cho Chang,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colin Creevey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dean Thomas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,24.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0
Dedalus Diggle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
Dilys Derwent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
