,"""Nearly Headless"" Nick",Albus Dumbledore,Alicia Spinnet,Angelina Johnson,Argus Filch,Arthur Weasley,Bathilda Bagshot,Blaise Zabini,Charlie Weasley,Cornelius Fudge,Dean Thomas,Dedalus Diggle,Dennis Creevey,Draco Malfoy,Dudley Dursley,Fred Weasley,George Weasley,Ginevra Weasley,Godric Gryffindor,Gregory Goyle Jr,Gregory Goyle Sr,Hannah Abbott,Harry Potter,Helena Ravenclaw,Hermione Granger,James Potter,Justin Finch-Fletchley,Katie Bell,Lavender Brown,Lee Jordan,Lily Potter,Lord Voldemort,Madam Malkin,Madam Rosmerta,Marcus Flint,Marjorie Dursley,Mary Cattermole,Mary Riddle,Millicent Bulstrode,Minerva McGonagall,Molly Weasley,Neville Longbottom,Newt Scamander,Nicolas Flamel,Oliver Wood,Pansy Parkinson,Parvati Patil,Percy Weasley,Peter Pettigrew,Petunia Dursley,Phineas Nigellus Black,Regulus Arcturus Black,Ronald Weasley,Rubeus Hagrid,Seamus Finnigan,Severus Snape,Sirius Black,Susan Bones,Ted Tonks,Teddy Lupin,Terry Boot,Tom Riddle,Vernon Dursley,William Weasley
Fred Weasley,0.0,0.0,0.265384615385,0.265384615385,-0.2,0.102562230462,0.0,1.0,0.102436219128,0.2,0.0,0.0,0.0,0.00902777777778,0.0,0.0,0.0891179542486,0.100823887573,0.326442307692,0.110416666667,0.110416666667,0.0,0.161769995877,0.0743365644327,0.00850340136054,0.0,0.0,0.265384615385,0.0,0.15,0.0,0.0,0.0,0.0,0.265384615385,0.0,0.0,0.0,0.0,0.0,0.10275534821,-0.0481481481481,0.0,0.0,0.212307692308,0.0,0.0,0.114004489464,0.0,0.0,0.0,0.0,0.119665836234,-0.0481481481481,0.166666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.102562230462
George Weasley,0.0,0.0,0.265384615385,0.265384615385,-0.2,0.097693421233,0.0,1.0,0.0978107048991,0.2,0.0,0.0,0.0,0.00902777777778,0.0,0.0891179542486,0.0,0.0959795015622,0.326442307692,0.110416666667,0.110416666667,0.0,0.129519085412,0.0643310978237,0.00850340136054,0.0,0.0,0.265384615385,0.0,0.15,0.0,0.0,0.0,0.0,0.265384615385,0.0,0.0,0.0,0.0,0.0,0.0982175635211,-0.0361111111111,0.0,0.0,0.265384615385,0.0,0.0,0.109909918991,0.0,0.0,0.0,0.0,0.112741520614,-0.0361111111111,0.166666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.097693421233
Ginevra Weasley,0.0,0.0,0.265384615385,0.265384615385,-0.2,0.100496650256,0.0,1.0,0.100467997357,0.2,0.0,0.0,0.0,-0.0416666666667,0.0,0.100823887573,0.0959795015622,0.0,0.382692307692,0.0,0.0,0.0,0.161827916352,0.0739901523597,0.00850340136054,0.0,0.0,0.265384615385,0.0,0.15,0.0,0.0,0.0,0.0,0.265384615385,0.0,0.0,0.0,0.0,0.0,0.10087845443,-0.0361111111111,0.0,0.0,0.265384615385,0.0,0.0,0.111000176074,0.0,0.0,0.0,0.0,0.12258761349,-0.0361111111111,0.166666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.100496650256
Godric Gryffindor,0.0,0.133333333333,0.254700854701,0.632692307692,0.0,0.382692307692,0.0,0.0,0.382692307692,0.0,0.0412698412698,0.0,0.0,-0.075,0.0,0.326442307692,0.326442307692,0.382692307692,0.0,0.0,0.0,0.0,0.109633537759,0.0514895948069,0.0324074074074,0.228571428571,0.0,0.265384615385,0.121590909091,0.125,0.228571428571,0.0,-0.05,-0.05,0.167820512821,0.0,0.0,0.0,0.0,0.133333333333,0.382692307692,-0.106928571429,0.0,0.0,0.127136752137,0.0,-0.155555555556,0.391346153846,0.0,0.0,-0.166666666667,-0.166666666667,0.0630499708625,0.0,0.1,0.00902777777778,-0.166666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.382692307692
Gregory Goyle Jr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.028869047619,0.0,0.110416666667,0.110416666667,0.0,0.0,0.0,-0.051240530303,0.0,0.0246666666667,-0.106895833333,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3,0.0,-0.136111111111,0.0,0.0,0.0,0.0,0.0,0.0,-0.11875,0.0,-0.208333333333,-0.208333333333,-0.00833333333333,0.0,0.0,0.2,-0.208333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gregory Goyle Sr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.028869047619,0.0,0.110416666667,0.110416666667,0.0,0.0,-0.051240530303,0.0,0.0,0.0246666666667,-0.106895833333,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3,0.0,-0.136111111111,0.0,0.0,0.0,0.0,0.0,0.0,-0.11875,0.0,-0.208333333333,-0.208333333333,-0.00833333333333,0.0,0.0,0.2,-0.208333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hannah Abbott,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0325396825397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Harry Potter,0.0,0.138819875776,0.0,0.0,-0.0111796296296,0.161827916352,0.0,1.0,0.125645124717,0.164285714286,0.0747619047619,0.6,0.0,0.00692403628118,0.0262846412846,0.161769995877,0.129519085412,0.161827916352,0.109633537759,0.0246666666667,0.0246666666667,0.0,0.0,0.0309356319897,0.0229068926421,0.0816542272212,0.0,0.0,-0.00206228956229,0.125,0.0816542272212,0.0875,-0.170834803057,-0.153751322751,0.114417989418,0.0,0.0,0.0,0.0,0.0341422466422,0.145645124717,0.00881834215168,0.0,0.00833333333333,0.109637896825,0.0,0.111111111111,0.165876255264,0.107142857143,0.0385606060606,-0.0766666666667,-0.0766666666667,0.0822220620666,0.0311048095532,0.05,-0.0865898853399,-0.0766666666667,0.0,0.0,0.0,0.0,0.8,0.0312408449575,0.145645124717
Helena Ravenclaw,0.206479978355,0.0572873168498,0.154567307692,0.506153846154,-0.0245209339775,0.0955351592852,0.0,0.0,0.0915811965812,0.145714285714,0.00396825396825,0.7,-0.4,0.0248466435185,0.0159946813181,0.0743365644327,0.0643310978237,0.0739901523597,0.0514895948069,-0.106895833333,-0.106895833333,0.0325396825397,0.0309356319897,0.0,0.0149506839342,0.0285017006803,0.0,0.064155982906,0.112219416386,0.0775835275835,0.0554877645503,0.146597222222,0.0325995953937,0.0596774521775,0.106535409035,0.00965005232862,0.0,0.0,0.0,0.00847256479524,0.100077108881,-0.018477443609,0.0,0.108833333333,0.0803314421849,0.0,-0.0222222222222,0.0756647425397,0.0238839285714,0.0286483302412,-0.0868434343434,-0.0868434343434,0.0295302630303,-0.00642056860383,0.0434523809524,-0.0130673815621,-0.0868434343434,0.133333333333,-0.0555555555556,0.0,0.0,0.0,-0.0179527621534,0.0764571005917
Hermione Granger,0.0,0.8,0.0,0.0,0.0,0.00850340136054,0.0,0.0,0.00850340136054,0.0,0.5,0.0,0.0,0.0290674603175,0.0,0.00850340136054,0.00850340136054,0.00850340136054,0.0324074074074,0.2,0.2,0.0,0.0229068926421,0.0149506839342,0.0,0.0,0.0,0.0,0.111111111111,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.2,0.00850340136054,-0.0266369047619,0.0,0.166666666667,0.0,0.0,-0.0222222222222,-0.00607993197279,0.0,0.0,0.0,0.0,0.0383633011609,0.00558862433862,0.5,-0.0416294642857,0.0,0.0,0.0,0.0,0.0,0.0,-0.216666666667,0.00850340136054
James Potter,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.457142857143,0.7,0.0,0.0,-0.0305555555556,0.0,0.0,0.0,0.228571428571,0.0,0.0,0.0,0.0816542272212,0.0285017006803,0.0,0.0,0.0,0.0,0.0,0.0,0.0765211022856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.357142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Justin Finch-Fletchley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Katie Bell,0.0,0.0,0.183141025641,0.265384615385,0.0,0.265384615385,0.0,0.0,0.265384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.265384615385,0.265384615385,0.265384615385,0.265384615385,0.0,0.0,0.0,0.0,0.064155982906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.183141025641,0.0,0.0,0.0,0.0,0.0,0.265384615385,0.0,0.0,0.0,0.265384615385,0.0,0.0,0.265384615385,0.0,0.0,0.0,0.0,0.265384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.265384615385
Lavender Brown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.121590909091,0.0,0.0,0.0,-0.00206228956229,0.112219416386,0.111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111111111111,0.0,0.0,0.1,0.0,0.0,0.118097643098,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lee Jordan,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.15,0.15,0.125,0.0,0.0,0.0,0.125,0.0775835275835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.183333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15
Lily Potter,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.457142857143,0.7,0.0,0.0,-0.0305555555556,0.0,0.0,0.0,0.228571428571,0.0,0.0,0.0,0.0816542272212,0.0554877645503,0.0,0.0765211022856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.357142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lord Voldemort,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0875,0.146597222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,0.0,0.0,0.0,0.127142857143,0.0,0.164732142857,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0
Madam Malkin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,-0.05,0.0,0.0,0.0,-0.170834803057,0.0325995953937,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0285863060282,-0.05,0.0,0.0,0.0,0.0,0.0,0.0,-0.0486111111111,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,-0.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Madam Rosmerta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,-0.05,0.0,0.0,0.0,-0.153751322751,0.0596774521775,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0285863060282,0.0,-0.05,0.0,0.0,0.0,0.0,0.0,0.0,-0.0486111111111,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,-0.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marcus Flint,0.0,0.0,0.191506410256,0.265384615385,0.0,0.265384615385,0.0,0.0,0.265384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.265384615385,0.265384615385,0.265384615385,0.167820512821,0.0,0.0,0.0,0.114417989418,0.106535409035,0.0,0.0,0.0,0.183141025641,0.0,0.125,0.0,0.0,-0.05,-0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.265384615385,0.0,0.0,0.0,0.265384615385,0.0,0.0,0.265384615385,0.0,0.0,0.0,0.0,0.265384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.265384615385
Marjorie Dursley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00684785452643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00965005232862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00131768707483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0176248235143,0.0
Mary Cattermole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mary Riddle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Millicent Bulstrode,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Minerva McGonagall,0.0,-0.0397982804233,0.0,0.0,-0.0101851851852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.161111111111,0.0,0.0,0.0,0.0,0.133333333333,-0.3,-0.3,0.0,0.0341422466422,0.00847256479524,0.2,0.357142857143,0.0,0.0,0.0,0.0,0.357142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.266666666667,0.0,0.0,-0.0333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.107291666667,0.0,0.00333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Molly Weasley,0.0,0.0,0.265384615385,0.265384615385,-0.2,0.102818424707,0.0,1.0,0.100831394371,0.2,0.0,0.0,0.0,-0.0416666666667,0.0,0.10275534821,0.0982175635211,0.10087845443,0.382692307692,0.0,0.0,0.0,0.145645124717,0.100077108881,0.00850340136054,0.0,0.0,0.265384615385,0.0,0.15,0.0,0.0,0.0,0.0,0.265384615385,0.0,0.0,0.0,0.0,0.0,0.0,-0.0361111111111,0.0,0.0,0.265384615385,0.0,0.0,0.11259342061,0.0,0.0,0.0,0.0,0.123465990615,-0.0361111111111,0.166666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.102818424707
