,"""Nearly Headless"" Nick",Albus Dumbledore,Alicia Spinnet,Angelina Johnson,Argus Filch,Arthur Weasley,Bathilda Bagshot,Blaise Zabini,Charlie Weasley,Cornelius Fudge,Dean Thomas,Dedalus Diggle,Dennis Creevey,Draco Malfoy,Dudley Dursley,Fred Weasley,George Weasley,Ginevra Weasley,Godric Gryffindor,Gregory Goyle Jr,Gregory Goyle Sr,Hannah Abbott,Harry Potter,Hermione Granger,James Potter,Justin Finch-Fletchley,Katie Bell,Lavender Brown,Lee Jordan,Lily Potter,Lord Voldemort,Madam Malkin,Madam Rosmerta,Marcus Flint,Marjorie Dursley,Mary Cattermole,Mary Riddle,Millicent Bulstrode,Minerva McGonagall,Molly Weasley,Neville Longbottom,Newt Scamander,Nicolas Flamel,Oliver Wood,Pansy Parkinson,Parvati Patil,Percy Weasley,Peter Pettigrew,Petunia Dursley,Phineas Nigellus Black,Regulus Arcturus Black,Ronald Weasley,Rubeus Hagrid,Seamus Finnigan,Severus Snape,Sirius Black,Susan Bones,Ted Tonks,Teddy Lupin,Terry Boot,Tom Riddle,Vernon Dursley,William Weasley
Dean Thomas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.460317460317,0.0,0.0,0.0,0.33244047619,0.5,0.514285714286,0.0,0.0,0.0,0.0,0.514285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.390625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.433333333333,0.433333333333,0.195833333333,0.0,0.390625,0.0,0.433333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dedalus Diggle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.7,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dennis Creevey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Draco Malfoy,0.0,0.0,0.0,0.0,0.0,0.291666666667,0.0,0.0,0.194444444444,0.0,0.0,0.0,0.0,0.0,0.6,0.403472222222,0.403472222222,0.291666666667,0.2,0.321279761905,0.321279761905,0.0,0.337894557823,0.246428571429,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.35,0.35,0.0,0.0,0.0,0.0,0.0,0.227777777778,0.291666666667,0.39906462585,0.0,0.0,0.0,0.0,0.0,0.291666666667,0.575,0.0,0.455555555556,0.455555555556,0.317222222222,0.234126984127,0.0,0.348571428571,0.455555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.291666666667
Dudley Dursley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.433164039664,0.0,0.329166666667,0.0,0.0,0.1,0.0,0.329166666667,0.3,0.0,0.0,0.0,0.33755897872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.325908883228,0.0,0.0,0.15,0.190277777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.356999947758,0.0
Fred Weasley,0.0,0.0,0.419230769231,0.419230769231,0.6,0.283296252188,0.0,1.0,0.280839059457,0.2,0.0,0.0,0.0,0.403472222222,0.0,0.0,0.275736562605,0.278494620795,0.428365384615,0.627083333333,0.627083333333,0.0,0.308260345805,0.538860544218,0.25,0.0,0.419230769231,0.0,0.4,0.25,0.0,0.0,0.0,0.419230769231,0.0,0.0,0.0,0.0,0.0,0.272187533409,0.337037037037,0.0,0.0,0.348717948718,0.0,0.0,0.289691593365,0.0,0.0,0.0,0.0,0.270983323095,0.337037037037,0.616666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.283296252188
George Weasley,0.0,0.0,0.419230769231,0.419230769231,0.6,0.270100483417,0.0,1.0,0.268230967311,0.2,0.0,0.0,0.0,0.403472222222,0.0,0.275736562605,0.0,0.265361878445,0.428365384615,0.627083333333,0.627083333333,0.0,0.309624905518,0.538860544218,0.25,0.0,0.419230769231,0.0,0.4,0.25,0.0,0.0,0.0,0.419230769231,0.0,0.0,0.0,0.0,0.0,0.25950119193,0.252777777778,0.0,0.0,0.419230769231,0.0,0.0,0.277787128302,0.0,0.0,0.0,0.0,0.252062228087,0.252777777778,0.616666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.270100483417
Ginevra Weasley,0.0,0.0,0.419230769231,0.419230769231,0.6,0.275425321358,0.0,1.0,0.272996937434,0.2,0.0,0.0,0.0,0.291666666667,0.0,0.278494620795,0.265361878445,0.0,0.459615384615,0.0,0.0,0.0,0.297771478962,0.538860544218,0.25,0.0,0.419230769231,0.0,0.4,0.25,0.0,0.0,0.0,0.419230769231,0.0,0.0,0.0,0.0,0.0,0.263024248887,0.252777777778,0.0,0.0,0.419230769231,0.0,0.0,0.281891103805,0.0,0.0,0.0,0.0,0.267161142597,0.252777777778,0.616666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.275425321358
Godric Gryffindor,0.0,0.655555555556,0.444919278253,0.709615384615,0.0,0.459615384615,0.0,0.0,0.459615384615,0.0,0.460317460317,0.0,0.0,0.2,0.0,0.428365384615,0.428365384615,0.459615384615,0.0,0.0,0.0,0.0,0.335870610871,0.156481481481,0.257142857143,0.0,0.419230769231,0.44696969697,0.45,0.257142857143,0.0,0.9,0.9,0.536951566952,0.0,0.0,0.0,0.0,0.233333333333,0.459615384615,0.513571428571,0.0,0.0,0.256837606838,0.0,0.288888888889,0.458974358974,0.0,0.0,0.433333333333,0.433333333333,0.361021270396,0.0,0.2,0.206018518519,0.433333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.459615384615
Gregory Goyle Jr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.321279761905,0.0,0.627083333333,0.627083333333,0.0,0.0,0.0,0.392253787879,0.0,0.349333333333,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.411111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.575,0.0,0.433333333333,0.433333333333,0.466666666667,0.0,0.0,0.4,0.433333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gregory Goyle Sr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.321279761905,0.0,0.627083333333,0.627083333333,0.0,0.0,0.392253787879,0.0,0.0,0.349333333333,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.411111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.575,0.0,0.433333333333,0.433333333333,0.466666666667,0.0,0.0,0.4,0.433333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hannah Abbott,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Harry Potter,0.0,0.360981711525,0.0,0.0,0.350326851852,0.297771478962,0.0,1.0,0.342994331066,0.537946428571,0.33244047619,0.6,0.0,0.337894557823,0.433164039664,0.308260345805,0.309624905518,0.297771478962,0.335870610871,0.349333333333,0.349333333333,0.0,0.0,0.305081450205,0.244810279667,0.0,0.0,0.407554713805,0.45,0.244810279667,0.370486111111,0.383727219283,0.345354497354,0.243121693122,0.166666666667,0.0,0.0,0.0,0.414300976801,0.267994331066,0.384821428571,0.0,0.348148148148,0.373516865079,0.0,0.409722222222,0.334901198575,0.214285714286,0.269567099567,0.445353535354,0.445353535354,0.349798199812,0.372861561061,0.144270833333,0.346457138957,0.445353535354,0.0,0.0,0.0,0.0,0.75,0.382174009941,0.267994331066
Hermione Granger,0.0,1.0,0.0,0.0,0.0,0.538860544218,0.0,0.0,0.538860544218,0.0,0.5,0.0,0.0,0.246428571429,0.0,0.538860544218,0.538860544218,0.538860544218,0.156481481481,0.4,0.4,0.0,0.305081450205,0.0,0.0,0.0,0.0,0.409722222222,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.466666666667,0.538860544218,0.258452380952,0.0,0.166666666667,0.0,0.0,0.349305555556,0.380527210884,0.0,0.0,0.0,0.0,0.340763246894,0.338111772487,0.5,0.280394345238,0.0,0.0,0.0,0.0,0.0,0.0,0.783333333333,0.538860544218
James Potter,0.0,0.245833333333,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.514285714286,0.7,0.0,0.5,0.329166666667,0.25,0.25,0.25,0.257142857143,0.0,0.0,0.0,0.244810279667,0.0,0.0,0.0,0.0,0.0,0.0,0.241164670729,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.571428571429,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.166666666667,0.0,0.25,0.0,0.0,0.233333333333,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25
Justin Finch-Fletchley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Katie Bell,0.0,0.0,0.489551282051,0.419230769231,0.0,0.419230769231,0.0,0.0,0.419230769231,0.0,0.0,0.0,0.0,0.0,0.0,0.419230769231,0.419230769231,0.419230769231,0.419230769231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.489551282051,0.0,0.0,0.0,0.0,0.0,0.419230769231,0.0,0.0,0.0,0.419230769231,0.0,0.0,0.419230769231,0.0,0.0,0.0,0.0,0.419230769231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.419230769231
Lavender Brown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.44696969697,0.0,0.0,0.0,0.407554713805,0.409722222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.409722222222,0.0,0.0,0.2,0.0,0.0,0.434553872054,0.475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lee Jordan,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.4,0.45,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
Lily Potter,0.0,0.245833333333,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.514285714286,0.7,0.0,0.5,0.329166666667,0.25,0.25,0.25,0.257142857143,0.0,0.0,0.0,0.244810279667,0.0,0.241164670729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.571428571429,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.166666666667,0.0,0.25,0.0,0.0,0.233333333333,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25
Lord Voldemort,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.370486111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.397142857143,0.0,0.323660714286,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0
Madam Malkin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.383727219283,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.298398408224,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0902777777778,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Madam Rosmerta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.345354497354,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.298398408224,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0902777777778,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marcus Flint,0.0,0.0,0.490675451092,0.419230769231,0.0,0.419230769231,0.0,0.0,0.419230769231,0.0,0.0,0.0,0.0,0.0,0.0,0.419230769231,0.419230769231,0.419230769231,0.536951566952,0.0,0.0,0.0,0.243121693122,0.0,0.0,0.0,0.489551282051,0.0,0.45,0.0,0.0,0.9,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.419230769231,0.0,0.0,0.0,0.419230769231,0.0,0.0,0.419230769231,0.0,0.0,0.0,0.0,0.419230769231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.419230769231
Marjorie Dursley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33755897872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.166666666667,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.345204875283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.316231014418,0.0
Mary Cattermole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mary Riddle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Millicent Bulstrode,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Minerva McGonagall,0.0,0.311375661376,0.0,0.0,0.332407407407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.227777777778,0.0,0.0,0.0,0.0,0.233333333333,0.5,0.5,0.0,0.414300976801,0.466666666667,0.571428571429,0.0,0.0,0.0,0.0,0.571428571429,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333333333,0.0,0.0,0.333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.468333333333,0.0,0.226666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Molly Weasley,0.0,0.0,0.419230769231,0.419230769231,0.6,0.268082407519,0.0,1.0,0.261433664125,0.2,0.0,0.0,0.0,0.291666666667,0.0,0.272187533409,0.25950119193,0.263024248887,0.459615384615,0.0,0.0,0.0,0.267994331066,0.538860544218,0.25,0.0,0.419230769231,0.0,0.4,0.25,0.0,0.0,0.0,0.419230769231,0.0,0.0,0.0,0.0,0.0,0.0,0.252777777778,0.0,0.0,0.419230769231,0.0,0.0,0.274726302609,0.0,0.0,0.0,0.0,0.261402449317,0.252777777778,0.616666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.268082407519
Neville Longbottom,0.0,0.288888888889,0.0,0.0,0.25,0.252777777778,0.0,0.0,0.252777777778,0.0,0.390625,0.0,0.0,0.39906462585,0.0,0.337037037037,0.252777777778,0.252777777778,0.513571428571,0.411111111111,0.411111111111,0.0,0.384821428571,0.258452380952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0902777777778,0.0902777777778,0.0,0.0,0.0,0.0,0.0,0.333333333333,0.252777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.252777777778,0.0,0.0,0.433333333333,0.433333333333,0.223214285714,0.301587301587,0.35625,0.45,0.433333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.252777777778
Newt Scamander,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nicolas Flamel,0.0,0.482857142857,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.348148148148,0.166666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oliver Wood,0.0,0.0,0.419230769231,0.419230769231,0.0,0.419230769231,0.0,0.0,0.419230769231,0.0,0.0,0.0,0.0,0.0,0.0,0.348717948718,0.419230769231,0.419230769231,0.256837606838,0.0,0.0,0.0,0.373516865079,0.0,0.0,0.0,0.419230769231,0.0,0.0,0.0,0.0,0.0,0.0,0.419230769231,0.0,0.0,0.0,0.0,0.333333333333,0.419230769231,0.0,0.0,0.0,0.0,0.0,0.0,0.419230769231,0.0,0.0,0.0,0.0,0.568376068376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.419230769231
